S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,10 % NMB DEBENTURE 2085,1,914.00,914.00,914.00,235.00,214790.00,931.00,-17.00 
2,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,6,980.00,941.20,943.00,200.00,189056.00,1000.00,-57.00 
3,10.25% Sunrise Bank Debenture 2083,2,938.30,920.00,920.00,60.00,55383.00,957.40,-37.40 
4,8.5% BOK Debenture 2086,5,795.00,780.10,795.00,100.00,78382.50,795.00,0.00 
5,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,34,872.00,840.20,860.00,655.00,562853.20,848.00,12.00 
6,Agricultural Development Bank Limited,200,338.00,331.70,332.20,48655.00,16196691.80,333.00,-0.80 
7,Ankhu Khola Jalvidhyut Company Ltd,282,207.00,200.10,200.30,52176.00,10604806.30,200.10,0.20 
8,Api Power Company Ltd.,1187,259.00,251.00,253.00,214474.00,54632051.90,254.00,-1.00 
9,Arun Kabeli Power Ltd.,652,474.90,461.00,468.00,126852.00,59422844.80,462.10,5.90 
10,Arun Valley Hydropower Development Co. Ltd.,336,364.50,354.00,357.50,63321.00,22837583.10,357.10,0.40 
11,Asha Laghubitta Bittiya Sanstha Ltd,55,1290.00,1251.10,1280.00,1827.00,2323897.90,1255.00,25.00 
12,Asian Life Insurance Co. Limited,287,600.00,574.30,595.90,53421.00,31622939.80,586.00,9.90 
13,Balephi Hydropower Limited,268,248.80,232.50,244.00,7432.00,1808411.00,237.00,7.00 
14,Barun Hydropower Co. Ltd.,766,321.00,298.60,299.00,93683.00,28704929.60,298.60,0.40 
15,Best Finance Company Ltd.,188,395.00,376.90,385.00,20622.00,7999688.60,375.50,9.50 
16,Bishal Bazar Company Limited,8,3780.00,3745.00,3750.00,175.00,659180.00,3675.00,75.00 
17,Bottlers Nepal (Terai) Limited,14,13695.00,13230.00,13370.00,205.00,2742243.00,13174.00,196.00 
18,Buddha Bhumi Nepal Hydropower Company Limited,48,385.00,363.10,370.00,1318.00,493433.00,370.00,0.00 
19,Butwal Power Company Limited,151,332.00,325.00,327.10,15770.00,5201205.30,326.00,1.10 
20,CEDB Hydropower Development Company Limited,416,800.00,730.00,776.00,37791.00,29458591.30,744.00,32.00 
21,Central Finance Co. Ltd.,236,319.90,297.00,311.00,29645.00,9261225.30,303.00,8.00 
22,Century Commercial Bank Ltd.,229,189.70,186.00,188.20,40654.00,7626041.90,186.20,2.00 
23,Chandragiri Hills Limited,152,1124.50,1085.00,1117.00,5491.00,6106546.50,1083.90,33.10 
24,Chhimek Laghubitta Bittiya Sanstha Limited,257,1079.10,1058.00,1062.00,9566.00,10184250.90,1058.00,4.00 
25,Chhyangdi Hydropower Ltd.,105,272.00,260.90,267.00,9589.00,2564709.50,261.00,6.00 
26,Chilime Hydropower Company Limited,136,410.00,400.10,401.10,15021.00,6091337.40,404.00,-2.90 
27,Citizen Investment Trust,279,2649.00,2606.00,2612.00,10336.00,27146871.20,2610.00,2.00 
28,Citizens Bank International Limited,173,208.80,205.00,207.00,30922.00,6395112.60,206.00,1.00 
29,Citizens Mutual Fund -1,36,8.85,8.26,8.59,122949.00,1026408.30,8.55,0.04 
30,CITIZENS MUTUAL FUND 2,10,9.36,9.12,9.30,10585.00,98178.20,9.55,-0.25 
31,Civil Laghubitta Bittiya Sanstha Ltd.,54,833.00,791.00,820.00,2213.00,1810464.20,805.00,15.00 
32,Corporate Development Bank Limited,100,323.20,313.00,315.00,13860.00,4434883.00,312.00,3.00 
33,Deprosc Laghubitta Bittiya Sanstha Limited,116,1008.00,990.00,998.20,6142.00,6140963.00,982.00,16.20 
34,Dibyashwori Hydropower Ltd.,68,214.00,201.00,205.00,8687.00,1796236.20,203.00,2.00 
35,Dordi Khola Jal Bidyut Company Limited,667,312.00,297.50,299.10,13090.00,3969883.00,303.00,-3.90 
36,Emerging Nepal Limited,216,850.00,782.00,836.00,13621.00,11266146.50,774.00,62.00 
37,Everest Bank Limited,303,458.70,436.20,457.90,226720.00,100526623.20,445.00,12.90 
38,Excel Development Bank Ltd.,126,354.00,342.00,347.50,19966.00,6971762.80,340.50,7.00 
39,First Micro Finance Laghubitta Bittiya Sanstha Limited,230,700.00,680.00,700.00,22644.00,15646031.70,674.90,25.10 
40,Forward Microfinance Laghubitta Bittiya Sanstha Limited,332,2477.00,2411.10,2440.00,12571.00,30787943.60,2406.00,34.00 
41,Ganapati Laghubitta Bittiya Sanstha Limited,40,990.00,934.70,980.00,1640.00,1587403.00,916.40,63.60 
42,Garima Bikas Bank Limited,270,395.80,385.40,390.00,36088.00,14130726.40,388.00,2.00 
43,Ghalemdi Hydro Limited,131,214.00,205.00,207.10,26994.00,5706277.60,208.80,-1.70 
44,Global IME Bank Limited Debenture 2086/87,6,775.00,763.10,769.00,105.00,80574.50,782.00,-13.00 
45,Global IME Laghubitta Bittiya Sanstha Ltd.,89,1409.00,1372.00,1393.00,3856.00,5372268.10,1377.00,16.00 
46,Global IME Samunnat Scheme-1,30,10.50,9.75,10.00,81500.00,820176.70,10.00,0.00 
47,Goodwill Finance Limited,252,504.90,486.00,494.00,42245.00,21062086.70,485.30,8.70 
48,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,188,785.00,750.00,783.90,46921.00,36451426.00,759.00,24.90 
49,Green Development Bank Ltd.,39,245.00,231.00,234.40,3628.00,862125.00,231.00,3.40 
50,Green Ventures Limited,681,328.00,306.00,324.00,45015.00,14335162.90,307.00,17.00 
51,GreenLife Hydropower Limited,117,320.00,305.00,311.00,7288.00,2276845.50,313.00,-2.00 
52,Guheshowori Merchant Bank & Finance Co. Ltd.,172,327.00,315.00,327.00,47570.00,15300786.90,312.00,15.00 
53,Gurans Laghubitta Bittiya Sanstha Limited,38,1050.60,990.00,995.00,1015.00,1030251.50,990.10,4.90 
54,Gurkhas Finance Ltd.,765,523.00,490.00,519.00,103579.00,53416658.50,499.80,19.20 
55,Himal Dolakha Hydropower Company Limited,193,209.40,203.00,203.00,46402.00,9534766.90,203.00,0.00 
56,Himalaya Urja Bikas Company Limited,62,251.00,233.00,238.00,9054.00,2164700.10,236.60,1.40 
57,Himalayan Bank Limited,86,310.00,305.00,308.00,8560.00,2620233.20,308.00,0.00 
58,Himalayan Distillery Limited,687,3580.00,3500.00,3515.00,23955.00,84836637.00,3499.90,15.10 
59,Himalayan Power Partner Ltd.,129,335.50,319.00,329.00,23649.00,7807163.90,319.00,10.00 
60,Hydorelectricity Investment and Development Company Ltd,571,208.80,198.90,203.10,96075.00,19735893.20,202.90,0.20 
61,ICFC Finance Limited,581,487.50,456.00,479.00,109006.00,51814248.30,455.00,24.00 
62,IME General Insurance Ltd.,269,391.00,375.00,387.90,34361.00,13211575.70,374.90,13.00 
63,Infinity Laghubitta Bittiya Sanstha Limited,95,1050.00,1019.20,1040.00,5154.00,5346918.70,1000.00,40.00 
64,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited,317,2599.00,2460.00,2545.00,9011.00,22790815.90,2441.00,104.00 
65,Janaki Finance Company Limited,133,390.90,375.20,387.00,16735.00,6474368.50,375.00,12.00 
66,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,56,1900.00,1809.90,1845.00,2206.00,4087890.10,1809.90,35.10 
67,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,322,2770.00,2699.00,2741.00,7412.00,20348993.70,2699.00,42.00 
68,Joshi Hydropower Development Company Ltd,78,210.00,200.00,202.40,11039.00,2298556.20,204.00,-1.60 
69,Jyoti Bikas Bank Limited,374,310.10,298.50,307.00,59620.00,18338901.50,304.50,2.50 
70,Kalika Laghubitta Bittiya Sanstha Ltd,50,1172.40,1127.00,1138.00,2837.00,3239997.20,1127.00,11.00 
71,Kalika power Company Ltd,46,393.00,381.30,388.00,6170.00,2393907.00,389.00,-1.00 
72,Kamana Sewa Bikas Bank Limited,284,367.00,353.00,360.90,32178.00,11623558.30,356.00,4.90 
73,Karnali Development Bank Limited,94,241.00,230.00,230.00,13401.00,3157671.00,234.00,-4.00 
74,Khanikhola Hydropower Co. Ltd.,75,216.30,207.90,213.90,7592.00,1616501.00,212.10,1.80 
75,Kisan Lagubitta Bittiya Sanstha Limited,15,945.00,925.00,941.00,830.00,772715.00,908.00,33.00 
76,Kumari Bank Limited,269,203.70,197.20,199.60,52961.00,10599351.80,199.90,-0.30 
77,Kumari Equity Fund,24,9.42,9.25,9.33,24600.00,230186.30,9.49,-0.16 
78,Laxmi Bank Limited,119,206.80,202.00,203.00,27713.00,5670553.00,202.80,0.20 
79,Laxmi Equity Fund,3,10.30,10.10,10.27,6600.00,66935.00,10.10,0.17 
80,Laxmi Laghubitta Bittiya Sanstha Ltd.,37,1310.00,1290.00,1309.00,4805.00,6246567.00,1285.00,24.00 
81,Laxmi Unnati Kosh,5,10.25,10.00,10.05,7050.00,70900.00,10.09,-0.04 
82,Liberty Energy Company Limited,96,259.00,248.00,248.10,15045.00,3804384.20,253.00,-4.90 
83,Life Insurance Corporation (Nepal) Limited,229,1488.90,1430.00,1480.00,14145.00,20826613.20,1457.90,22.10 
84,Lumbini Bikas Bank Ltd.,238,352.00,342.00,346.90,42464.00,14723038.40,339.00,7.90 
85,Machhapuchhre Bank Limited,184,248.80,245.00,246.20,33597.00,8268126.10,247.00,-0.80 
86,Madhya Bhotekoshi Jalavidyut Company Limited,411,239.90,230.30,236.00,17090.00,4038887.80,234.00,2.00 
87,Mahalaxmi Bikas Bank Ltd.,517,391.90,379.90,385.00,65324.00,25236270.80,382.00,3.00 
88,Mahila Lagubitta Bittiya Sanstha Limited ,63,3520.00,3440.00,3501.00,1291.00,4510402.00,3465.00,36.00 
89,Mahuli Laghubitta Bittiya Sanstha Limited,29,1180.00,1141.00,1171.00,517.00,599732.50,1128.00,43.00 
90,Mailung Khola Jal Vidhyut Company Limited,78,491.00,468.00,473.00,12295.00,5952221.60,476.90,-3.90 
91,Manakamana Smart Laghubitta Bittiya Sanstha Limited,42,1014.00,943.00,964.00,1180.00,1133973.10,963.90,0.10 
92,Manjushree Finance Ltd.,233,462.00,445.00,454.00,15890.00,7247954.70,448.00,6.00 
93,Manushi Laghubitta Bittiya Sanstha Limited,24,1075.00,1044.30,1073.50,502.00,531340.20,1044.90,28.60 
94,Mega Mutual Fund -1,28,8.12,7.97,8.06,17590.00,141850.50,7.99,0.07 
95,Mero Microfinance Bittiya Sanstha Ltd.,143,910.00,880.00,880.00,10407.00,9307249.70,865.00,15.00 
96,Mirmire Microfinance Development Bank Ltd.,72,1100.00,1060.00,1080.00,4307.00,4687878.00,1057.70,22.30 
97,Miteri Development Bank Limited,109,369.90,356.00,360.00,18583.00,6728611.90,355.80,4.20 
98,Mithila LaghuBitta Bittiya Sanstha Limited,34,1345.00,1300.00,1318.90,1987.00,2603605.00,1319.00,-0.10 
99,Mountain Energy Nepal Limited,73,828.00,785.00,824.00,8391.00,6749846.00,801.00,23.00 
100,Mountain Hydro Nepal Limited,129,284.00,271.00,279.00,24117.00,6734550.00,274.00,5.00 
